omp_critical_1
1,0.0231239
2,0.0115825
3,0.00799118
4,0.00739141
5,0.00763311
6,0.00699686
7,0.0063234
8,0.00601678
9,0.00720044
10,0.00776078
11,0.00714184
12,0.00683806
omp_critical_2
1,0.00822431
2,0.00436154
3,0.00437279
4,0.00402655
5,0.00338939
6,0.00280825
7,0.00249067
8,0.00230522
9,0.00298093
10,0.00300207
11,0.00293904
12,0.00276856
omp_critical_3
1,0.0167348
2,0.0421188
3,0.0584984
4,0.0764569
5,0.0834938
6,0.0941949
7,0.102274
8,0.114059
9,0.111072
10,0.122175
11,0.122808
12,0.122641
omp_reduction_1
1,0.0116198
2,0.0068847
3,0.00594945
4,0.00631025
5,0.00557627
6,0.00550072
7,0.00636664
8,0.00727831
9,0.00623728
10,0.00603461
11,0.00574198
12,0.0056299
omp_reduction_2
1,0.0114844
2,0.00667865
3,0.00604962
4,0.00517045
5,0.0056172
6,0.00529002
7,0.00533512
8,0.00527088
9,0.00605273
10,0.00585567
11,0.0057106
12,0.00559766
omp_reduction_3
1,0.0123164
2,0.00711868
3,0.00647428
4,0.00592997
5,0.00582257
6,0.00528752
7,0.00521959
8,0.00582362
9,0.00633733
10,0.00595509
11,0.00590928
12,0.00564153
13,0.00547597
14,0.00531881
15,0.00543611
16,0.00541845
omp_reduction_4
1,0.00952766
2,0.00504961
3,0.00430139
4,0.00403742
5,0.00394645
6,0.00361706
7,0.00356374
8,0.00375134
9,0.00410434
10,0.00421795
11,0.00396719
12,0.00381153
