==== START RUNTIMES ====
Threads Trial Time
1)      0.00952766 seconds
2)      0.00504961 seconds
3)      0.00430139 seconds
4)      0.00403742 seconds
5)      0.00394645 seconds
6)      0.00361706 seconds
7)      0.00356374 seconds
8)      0.00375134 seconds
9)      0.00410434 seconds
10)     0.00421795 seconds
11)     0.00396719 seconds
12)     0.00381153 seconds
===== END RUNTIMES =====
Exiting ./rr successfully.
